id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1953493558729548265,"Telefonei, hoje, para o primeiro-ministro da Índia, Narendra Modi. Na conversa, que durou cerca de uma hora, recordamos os importantes resultados da visita de Estado que o primeiro-ministro Modi fez ao Brasil em 8 de julho. 

Discutimos o cenário econômico internacional e a imposição de tarifas unilaterais. Brasil e Índia são, até o momento, os dois países mais afetados. Reafirmamos a importância em defender o multilateralismo e a necessidade de fazer frente aos desafios da conjuntura, além de explorar possibilidades de maior integração entre os dois países. 

Nesse contexto, confirmamos a realização de visita de Estado do Brasil à Índia no início do próximo ano. Como etapa preparatória da visita, acordamos que o Vice-Presidente Geraldo Alckmin irá à Índia em outubro próximo, por ocasião da reunião do Mecanismo de Monitoramento de Comércio. A delegação contará com ministros e empresários brasileiros para tratar de cooperação na área comercial, de defesa, energia, minerais críticos, saúde e inclusão digital.  

Recordamos, ainda, a meta de aumentar o comércio bilateral para mais de US$ 20 bilhões até 2030. Para isso, concordamos em ampliar a cobertura do acordo entre MERCOSUL e Índia. Trocamos informações sobre as plataformas de pagamento virtual de nossos dois países, incluindo o PIX e a UPI indiana.  

Falamos também sobre os êxitos da Cúpula do BRICS no Brasil e em trabalhar juntos para a transição da próxima presidência do bloco que estará a cargo da Índia.",https://x.com/LulaOficial/status/1953493558729548265,tweet,Lula,@LulaOficial,108,23,273,2036,27806,22,2025-08-07 13:28:53,,
1953255742376395066,"Assinei hoje, no Palácio do Planalto, a homologação das Terras Indígenas Pitaguary, Lagoa Encantada e Tremembé de Queimadas, no Ceará. Com isso, nosso governo chega a 16 territórios homologados desde 2023, superando o compromisso que assumimos ainda na transição.

Reconhecer os direitos dos povos originários é um passo essencial para construirmos um país mais justo, que respeita sua história e valoriza suas raízes.

📸 @ricardostuckert",https://x.com/LulaOficial/status/1953255742376395066,tweet,Lula,@LulaOficial,428,27,966,6299,103100,48,2025-08-06 21:43:53,"https://pbs.twimg.com/media/GxtbmLYWoAAYvlt.jpg,https://pbs.twimg.com/media/GxtbpnPa0AA2AGQ.jpg,https://pbs.twimg.com/media/GxtbrKtWEAArkxc.jpg,https://pbs.twimg.com/media/GxtbtCJWEAAZDAm.jpg",
1953219052786037008,"Viva a cultura brasileira 🇧🇷

Sancionei hoje dois projetos de lei, que reconhecem o Carnaval do Município do Rio de Janeiro como manifestação da cultura nacional, e instituem o Dia Nacional da Axé-Music, a ser comemorado no dia 17 de fevereiro.

O carnaval carioca e o axé são parte da alma e da cultura de nosso povo, e desempenham um papel muito importante para a economia de nosso país.

📸 @ricardostuckert",https://x.com/LulaOficial/status/1953219052786037008,tweet,Lula,@LulaOficial,820,51,1018,9780,150779,50,2025-08-06 19:18:05,https://pbs.twimg.com/media/Gxs6ItJWAAAX-yP.jpg,
1953187223479742801,"Nós não vamos medir esforços para proteger as empresas brasileiras e os empregos do nosso povo.

O compromisso é claro: apoiar o Brasil. Empresários e trabalhadores não estão sozinhos. 🇧🇷

🎥 Audiovisual/PR
#EntrevistaReuters https://t.co/MQ8plsa47z",https://x.com/LulaOficial/status/1953187223479742801,tweet,Lula,@LulaOficial,998,70,1589,7493,102420,76,2025-08-06 17:11:37,https://pbs.twimg.com/amplify_video_thumb/1953186861448343553/img/hFhDbzg_j51w5oRQ.jpg,https://video.twimg.com/amplify_video/1953186861448343553/vid/avc1/1080x1920/Ws-o6xJS6Sbx7kYJ.mp4?tag=21
1952890402249265166,"Combater a fome e a desigualdade é uma escolha política.

Foi esta a mensagem que levei hoje para a reunião plenária do Conselho Nacional de Segurança Alimentar e Nutricional, o Consea.

Este encontro foi uma oportunidade para comemorarmos a saída do Brasil do Mapa da Fome. Este marco não é fruto do acaso. É resultado de decisões políticas do nosso governo, que priorizaram a redução da pobreza, o estímulo à geração de emprego e renda, o apoio à agricultura familiar, o fortalecimento da alimentação escolar e o acesso à alimentação saudável.

Com trabalho sério e compromisso, o Brasil já mostrou, duas vezes, que é possível enfrentar a fome neste país. E é com este espírito que vamos seguir trabalhando.

📸 @ricardostuckert",https://x.com/LulaOficial/status/1952890402249265166,tweet,Lula,@LulaOficial,1241,46,1343,8067,122513,52,2025-08-05 21:32:09,https://pbs.twimg.com/media/GxoPX2aWkAADb1h.jpg,
1952839883019698513,"Democracia é mais do que o direito de votar. É também fiscalizar, ouvir e contribuir com soluções. Só com diálogo e cooperação construiremos um futuro mais justo e solidário.

📽️ Audiovisual/PR https://t.co/oYtzvegfM3",https://x.com/LulaOficial/status/1952839883019698513,tweet,Lula,@LulaOficial,1169,40,1359,7937,109002,77,2025-08-05 18:11:24,https://pbs.twimg.com/amplify_video_thumb/1952839651493822464/img/emLebAqmYrTJLmVg.jpg,https://video.twimg.com/amplify_video/1952839651493822464/vid/avc1/720x720/4WENrqB2zVlxlPCI.mp4?tag=21
1952814632995045445,Presidente Lula participa da reunião do Conselho de Desenvolvimento Econômico Social Sustentável https://t.co/1tIDipn4P9,https://x.com/LulaOficial/status/1952814632995045445,tweet,Lula,@LulaOficial,270,16,515,2474,51630,17,2025-08-05 16:31:04,,
1952790188725248293,"Governar é estar junto de quem faz o Brasil acontecer.

Hoje participei da reunião do Conselho de Desenvolvimento Econômico Social Sustentável, o Conselhão. O Conselhão é um ponto de encontro de nosso governo com o povo brasileiro. Aqui ouvimos propostas, identificamos necessidades e construímos soluções para o nosso país.

Democracia é mais que votar. É fiscalizar, participar e ajudar o governo a trabalhar pelo povo. O Conselhão mostra que é possível construir uma democracia participativa envolvendo a sociedade. Sou muito grato a cada conselheiro e conselheira por sua contribuição para o exercício da democracia brasileira 🇧🇷

📸 @ricardostuckert",https://x.com/LulaOficial/status/1952790188725248293,tweet,Lula,@LulaOficial,608,35,1101,6928,99669,48,2025-08-05 14:53:56,"https://pbs.twimg.com/media/Gxm0H7aWAAAOeJS.jpg,https://pbs.twimg.com/media/Gxm0C46WEAA3DtA.jpg,https://pbs.twimg.com/media/Gxm0FfwWEAAMAbH.jpg,https://pbs.twimg.com/media/Gxm0H6-WoAAFQsP.jpg",
1952726596160545242,Presidente Lula participa da reunião do Conselho de Desenvolvimento Econômico Social Sustentável https://t.co/k8nZc4Cc6Z,https://x.com/LulaOficial/status/1952726596160545242,tweet,Lula,@LulaOficial,386,15,508,2322,54476,13,2025-08-05 10:41:15,,
1952503945840169086,"Sancionei hoje uma lei que libera R$ 22 bilhões do Fundo Nacional de Desenvolvimento Científico e Tecnológico para fortalecer a ciência nacional. 

Com essa medida, vamos fortalecer a inovação nas seis missões da Nova Indústria Brasil e nas Instituições Científicas e Tecnológicas, levando infraestrutura, redes de pesquisa e oportunidades para todos os territórios do país.

Investir em pesquisa e inovação é investir no futuro do Brasil 🇧🇷🔬

🔗: https://t.co/mqWYznwXj0

📸 @ricardostuckert",https://x.com/LulaOficial/status/1952503945840169086,tweet,Lula,@LulaOficial,1294,240,2766,26455,401516,212,2025-08-04 19:56:31,https://pbs.twimg.com/media/Gxiu_DSXAAA-EPX.jpg,
