id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1953307549194678720,@andrew_n_carr @itsclivetime banger,https://x.com/sama/status/1953307549194678720,tweet,Sam Altman,@sama,24,2,5,326,11826,9,2025-08-07 01:09:45,,
1953296157586931745,"our livestream tomorrow at 10 am PDT will be longer than usual, around an hour.

we have a lot to show and hope you can find the the time to watch!",https://x.com/sama/status/1953296157586931745,tweet,Sam Altman,@sama,1307,400,1128,15646,968297,1067,2025-08-07 00:24:29,,
1953264193890861114,https://t.co/1u0MOGvJWU,https://x.com/sama/status/1953264193890861114,tweet,Sam Altman,@sama,2432,1157,1406,23874,3302752,1684,2025-08-06 22:17:28,https://pbs.twimg.com/media/GxtfdakawAAsVKT.jpg,
1953177626367148384,"@laserboat999 ok this was funny, send me your address and ill send you a 5090",https://x.com/sama/status/1953177626367148384,tweet,Sam Altman,@sama,163,52,40,3686,481325,112,2025-08-06 16:33:29,,
1953103336044990779,"we are providing ChatGPT access to the entire federal workforce!

(for $1 a year per agency)

https://t.co/avYIinWPXX",https://x.com/sama/status/1953103336044990779,tweet,Sam Altman,@sama,1531,539,693,10416,1319409,1194,2025-08-06 11:38:16,,
1952879515287601465,"someday soon something smarter than the smartest person you know will be running on a device in your pocket, helping you with whatever you want.

this is a very remarkable thing.",https://x.com/sama/status/1952879515287601465,tweet,Sam Altman,@sama,3395,927,3009,35220,2500130,2933,2025-08-05 20:48:53,,
1952878230186410206,"My initial impression on OpenAI's OSS model is aligned with what they advertised. It does feel closer to o3 than to other open models, except it is much faster and cheaper. Some providers offer it at 3000 tokens/s, which is insane. It is definitely smarter than Kimi K2, R1 and",https://x.com/sama/status/1952878230186410206,retweet,Taelin,@VictorTaelin,0,0,124,0,7,0,2025-08-05 20:43:47,,
1952813002958488049,@yacineMTB thanks bro,https://x.com/sama/status/1952813002958488049,tweet,Sam Altman,@sama,337,40,104,8869,204470,199,2025-08-05 16:24:36,,
1952803777561362792,@flavioAd the cool thing in this case is that you can verify 20b!,https://x.com/sama/status/1952803777561362792,tweet,Sam Altman,@sama,73,7,44,2518,129863,61,2025-08-05 15:47:56,,
1952783409744416797,"Today we release gpt-oss-120b and gpt-oss-20b—two open-weight LLMs that deliver strong performance and agentic tool use.

Before release, we ran a first of its kind safety analysis where we fine-tuned the models to intentionally maximize their bio and cyber capabilities 🧵 https://t.co/err2mBcggx",https://x.com/sama/status/1952783409744416797,retweet,Eric Wallace,@Eric_Wallace_,0,0,385,0,3,0,2025-08-05 14:27:00,,
1952778579294466220,@sama Sam this performance is crazy https://t.co/j32uzirST7,https://x.com/sama/status/1952778579294466220,retweet,Angel Bogado 🌻,@Angaisb_,0,0,98,0,-,0,2025-08-05 14:07:48,https://pbs.twimg.com/media/GxmpGu8XMAA83iG.jpg,
